Reach,Ingoings,Outgoings,Split Ratio,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,BMPs
27_0,,27,,183.73814,206.465156,124.64642461,210.52760000000004,177.19208400000002,378.1634346,198.94551096180004,306.91703390000004,430.9287068000001,159.349829,107.53495890399995,205.13345900000002,329.48214955799995,337.21005703640003,53.582668707899984,236.26933000000002,271.34905,125.13430252129999,231.14700000000005,135.13852798000002,312.38817552700004,111.1157057477,159.096801,153.3111367,86.63183200000003,166.85100000000006,136.1364892,266.80103199999996,156.12548402717002,268.1440703999999,359.28728600000005,142.74535499999996,89.97229280999994,160.11251499999997,295.628234795,272.73980246827,35.88324956408,186.15517899999998,238.7174762,114.48080173836003,189.39396399999998,117.02598220000002,271.263785183,92.58212991222999, BMP26_27 BMP27_27 BMP28_27 BMP29_27 BMP30_27 BMP31_27 BMP32_27 BMP33_27 BMP34_27
28,7 15 28_0,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28_0,,28,,15.896480000000054,13.649217699999951,7.463637402899963,19.83884719999992,27.049343099999987,31.24385050000012,20.963842,16.020691899999974,37.79364500000008,34.536388999999986,9.466084826099973,20.508663299999967,20.823772699999722,33.09205211999995,13.134175300000038,22.012420900000052,25.659974999999918,8.206256999999994,67.018281,29.320310559999996,41.70003059999999,9.361566000000039,14.113259999999912,9.968950500000005,5.13983999569993,16.20504370000009,26.997239399999955,24.8224029000001,13.44921700000009,10.732953500000008,31.667630999999915,41.9070311000001,8.731510014699893,13.80985140000007,14.264688299999762,26.120775099999832,12.849614000000031,17.219131100000027,16.876553399999978,5.83401699999996,58.95310400000005,32.32410980000003,37.89860909999982,6.851129299999968, BMP26_28 BMP27_28 BMP28_28 BMP29_28 BMP30_28 BMP31_28 BMP32_28 BMP33_28 BMP34_28
29,,33,,413.039,371.07590000000005,409.204559,512.3027999999999,492.66010000000006,693.3645,480.23788,784.4274,886.8423,405.4728,309.34222000000005,368.92067000000003,784.962902,656.3802711131,202.76751232400002,479.35733,607.7878000000001,298.77962154740004,395.7535,294.801623,819.1269599999999,303.8210474934,336.1389,295.09899,311.56761,363.89732,375.11762,484.37892999999997,372.91585000000003,702.74926,729.8479,323.956,239.89171,279.12456,708.5816874000001,513.0715327736,147.28698790500002,345.1803,468.2221,267.22521510400003,285.63707,202.75863999999999,650.76175,236.1038226744, BMP26_29 BMP27_29 BMP28_29 BMP29_29 BMP30_29 BMP31_29 BMP32_29 BMP33_29 BMP34_29
30,18 26 30_0,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30_0,,30,,52.773800000000165,39.27776999999992,30.599152715999935,71.35815000000002,76.06279139999992,70.41694100000018,82.3132300000002,43.71468999999979,115.42097000000012,74.02988000000005,27.217137910299698,73.7613487000001,56.806859999999915,84.06464117399992,34.587980000000016,62.627174000000196,68.6350460000001,33.55013000000008,134.95798999999988,68.17181409999989,81.5319199999999,31.155954000000065,38.37151999999992,26.06761300000005,18.18536787000005,48.93022399999995,62.61638099999982,49.623075000000085,53.00673000000006,30.302380000000085,88.16051399999992,76.7544620000001,20.03717588390009,45.94038599999976,39.975083999999924,60.83344454100006,27.187004,42.790647000000035,42.31294400000013,21.65650100000005,103.53240000000005,60.412874999999985,63.74070599999982,19.476080739000167, BMP26_30 BMP27_30 BMP28_30 BMP29_30 BMP30_30 BMP31_30 BMP32_30 BMP33_30 BMP34_30
31,25 31_0,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31_0,,31,,56.72280000000001,67.08120000000008,58.46090340000001,73.11139999999978,56.50440000000026,83.96389999999974,81.92930000000001,145.06740000000013,132.23800000000006,69.98049999999989,46.83526219999999,70.8292100000001,140.34275999999977,92.07131770000001,43.026313269999946,83.51499999999987,94.05242999999996,56.202,90.65350000000012,66.02892999999995,106.6928799999996,77.48055299999999,42.241329999999834,54.18421999999998,45.09610500000008,47.795479999999884,34.999236999999766,51.258424999999875,57.58111500000007,120.69858000000022,103.99847999999997,51.270685000000185,32.86559500000004,50.784227999999985,125.00880700000016,65.48562260000006,28.071014599999955,54.983915000000025,65.54051699999991,51.024670999999955,65.09101099999998,45.19351899999998,84.52267400000005,63.41326600000008, BMP26_31 BMP27_31 BMP28_31 BMP29_31 BMP30_31 BMP31_31 BMP32_31 BMP33_31 BMP34_31
32,8 30 32_0,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32_0,,32,,110.09988999999996,96.90309480000019,55.776954594200106,149.67075299999988,218.03111829,206.1394535999998,176.1475979999998,114.59589000000005,344.85841500000015,217.3503270000001,58.648612750900156,165.62018409999973,148.51739399999997,244.1692243959999,80.547955,150.45812694999995,203.20379200000002,60.21114099999977,436.67057,198.59568829900013,273.31529799999976,68.48127608299978,124.81650600000012,89.51508600000011,43.63429429809992,130.0193670000001,239.7948933,186.9923389999999,155.641394,113.5403269999997,343.5811080000001,287.75417000000016,62.36239951150014,140.85085300000014,153.81789300000014,235.6873786199999,81.11321999999984,149.89320699999985,199.52504699999986,46.820232000000146,431.52690000000007,252.68512568000006,302.08651400000053,66.38910989999988, BMP26_32 BMP27_32 BMP28_32 BMP29_32 BMP30_32 BMP31_32 BMP32_32 BMP33_32 BMP34_32
